,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Dikson,73.51,80.55,2.16,81.0,100.0,5.47,RU,1601446762.0
1,Gandia,38.97,-0.18,16.11,8.0,56.0,0.45,ES,1601446762.0
2,Lautaro,-38.52,-72.45,7.0,93.0,75.0,4.1,CL,1601446763.0
3,Iskateley,67.68,53.15,8.49,82.0,10.0,4.99,RU,1601446763.0
4,Murray Bridge,-35.12,139.27,14.44,93.0,90.0,4.47,AU,1601446764.0
5,Thompson,55.74,-97.86,7.0,100.0,75.0,2.6,CA,1601446764.0
6,Tuktoyaktuk,69.45,-133.04,3.0,93.0,75.0,1.0,CA,1601446765.0
7,Albany,42.6,-73.97,13.89,100.0,90.0,1.5,US,1601446765.0
8,Flin Flon,54.77,-101.86,6.96,82.0,95.0,5.11,CA,1601446766.0
9,Tuatapere,-46.13,167.68,10.0,83.0,99.0,3.13,NZ,1601446767.0
10,Flin Flon,54.77,-101.86,6.96,82.0,95.0,5.11,CA,1601446766.0
11,Hasaki,35.73,140.83,26.11,60.0,40.0,3.1,JP,1601446663.0
12,Qaanaaq,77.48,-69.36,-9.91,78.0,0.0,3.13,GL,1601446768.0
13,Rikitea,-23.12,-134.97,21.18,79.0,55.0,10.13,PF,1601446768.0
14,Albany,42.6,-73.97,13.89,100.0,90.0,1.5,US,1601446765.0
15,Saint-Philippe,-21.36,55.77,26.0,57.0,35.0,3.1,RE,1601446769.0
16,Haines Junction,60.75,-137.51,4.45,81.0,100.0,1.04,CA,1601446769.0
17,Bengkulu,-3.8,102.27,31.35,55.0,48.0,5.39,ID,1601446770.0
18,East London,-33.02,27.91,16.0,59.0,0.0,3.6,ZA,1601446561.0
19,Kandrian,-6.22,149.55,26.84,84.0,70.0,5.41,PG,1601446771.0
20,Cape Town,-33.93,18.42,15.56,87.0,27.0,1.0,ZA,1601446234.0
21,Pisco,-13.7,-76.22,17.0,82.0,90.0,1.5,PE,1601446772.0
22,Ancud,-41.87,-73.82,4.44,86.0,57.0,5.7,CL,1601446772.0
23,Nouadhibou,20.93,-17.03,21.0,77.0,0.0,7.2,MR,1601446773.0
24,Isangel,-19.55,169.27,21.84,78.0,26.0,9.25,VU,1601446773.0
25,Chirongui,-12.93,45.15,29.0,70.0,18.0,4.1,YT,1601446774.0
27,Vaini,-21.2,-175.2,25.0,94.0,75.0,7.2,TO,1601446774.0
28,Atuona,-9.8,-139.03,25.96,75.0,2.0,9.94,PF,1601446775.0
29,Mizdah,31.45,12.98,19.53,75.0,1.0,2.22,LY,1601446775.0
30,Turukhansk,65.82,87.98,1.98,97.0,100.0,3.89,RU,1601446776.0
31,Finschhafen,-6.6,147.87,28.1,72.0,89.0,4.24,PG,1601446776.0
32,Nova Olímpia,-14.8,-57.29,26.29,40.0,98.0,0.78,BR,1601446777.0
33,Meulaboh,4.14,96.13,30.34,65.0,97.0,4.59,ID,1601446777.0
34,Port Lincoln,-34.73,135.87,16.43,74.0,71.0,9.34,AU,1601446778.0
35,Ribeira Grande,38.52,-28.7,16.0,82.0,20.0,2.1,PT,1601446778.0
36,Busselton,-33.65,115.33,17.78,78.0,100.0,4.02,AU,1601446779.0
37,Saint George,37.1,-113.58,20.56,14.0,1.0,2.1,US,1601446729.0
38,Hermanus,-34.42,19.23,11.67,84.0,40.0,0.89,ZA,1601446779.0
39,Busselton,-33.65,115.33,17.78,78.0,100.0,4.02,AU,1601446779.0
40,Athabasca,54.72,-113.29,6.43,64.0,0.0,4.03,CA,1601446780.0
41,Praia da Vitória,38.73,-27.07,18.0,82.0,75.0,4.66,PT,1601446780.0
42,Muhafazat Lahij,13.17,44.58,28.84,57.0,0.0,3.04,YE,1601446780.0
43,Cape Town,-33.93,18.42,15.56,87.0,27.0,1.0,ZA,1601446234.0
44,Mataura,-46.19,168.86,10.0,83.0,100.0,3.13,NZ,1601446781.0
45,San Quintín,30.48,-115.95,24.53,55.0,0.0,2.76,MX,1601446521.0
46,Hermanus,-34.42,19.23,11.67,84.0,40.0,0.89,ZA,1601446779.0
47,Barrow,71.29,-156.79,0.0,98.0,90.0,4.6,US,1601446608.0
48,Lüderitz,-26.65,15.16,13.66,64.0,0.0,8.73,NA,1601446782.0
49,Tezu,27.92,96.17,33.85,44.0,8.0,1.37,IN,1601446782.0
50,Port Hardy,50.7,-127.42,13.0,100.0,20.0,2.6,CA,1601446783.0
51,Vaini,-21.2,-175.2,25.0,94.0,75.0,7.2,TO,1601446774.0
52,Albany,42.6,-73.97,13.89,100.0,90.0,1.5,US,1601446765.0
53,Natal,-5.79,-35.21,24.0,83.0,5.0,3.1,BR,1601446665.0
54,Lata,40.16,-8.33,17.78,93.0,99.0,0.61,PT,1601446784.0
55,West Wendover,40.74,-114.07,12.0,32.0,1.0,1.02,US,1601446784.0
56,Souillac,-20.52,57.52,24.0,78.0,75.0,5.7,MU,1601446784.0
57,Barrow,71.29,-156.79,0.0,98.0,90.0,4.6,US,1601446608.0
58,Geraldton,-28.77,114.6,23.0,49.0,0.0,5.7,AU,1601446785.0
59,Cartagena,10.4,-75.51,26.4,87.0,100.0,3.45,CO,1601446785.0
60,Punta Arenas,-53.15,-70.92,1.0,86.0,90.0,6.2,CL,1601446786.0
61,Chui,-33.7,-53.46,10.58,94.0,0.0,2.09,UY,1601446786.0
62,Rikitea,-23.12,-134.97,21.18,79.0,55.0,10.13,PF,1601446768.0
63,Kultuk,51.72,103.7,4.29,75.0,100.0,3.67,RU,1601446787.0
64,Avarua,-21.21,-159.78,24.0,88.0,32.0,9.3,CK,1601446788.0
65,Punta Arenas,-53.15,-70.92,1.0,86.0,90.0,6.2,CL,1601446786.0
66,Mar del Plata,-38.0,-57.56,12.0,87.0,29.0,4.6,AR,1601446761.0
67,Punta Arenas,-53.15,-70.92,1.0,86.0,90.0,6.2,CL,1601446786.0
68,East London,-33.02,27.91,16.0,59.0,0.0,3.6,ZA,1601446561.0
69,Kapit,2.02,112.93,33.91,45.0,100.0,1.39,MY,1601446789.0
70,Lompoc,34.64,-120.46,15.56,93.0,90.0,3.64,US,1601446492.0
71,Amahai,-3.33,128.92,24.71,90.0,96.0,3.57,ID,1601446789.0
72,Vaini,-21.2,-175.2,25.0,94.0,75.0,7.2,TO,1601446774.0
73,Punta Arenas,-53.15,-70.92,1.0,86.0,90.0,6.2,CL,1601446786.0
74,Vila Velha,-20.33,-40.29,26.11,88.0,40.0,2.6,BR,1601446689.0
75,Zverinogolovskoye,54.46,64.85,11.65,50.0,15.0,1.49,RU,1601446790.0
76,Thompson,55.74,-97.86,7.0,100.0,75.0,2.6,CA,1601446764.0
77,Morant Bay,17.88,-76.41,29.0,74.0,75.0,4.6,JM,1601446791.0
78,Qandala,11.47,49.87,30.82,50.0,34.0,1.85,SO,1601446791.0
79,Nelson,-41.28,173.28,11.67,52.0,69.0,0.45,NZ,1601446791.0
80,Hermanus,-34.42,19.23,11.67,84.0,40.0,0.89,ZA,1601446779.0
81,Chui,-33.7,-53.46,10.58,94.0,0.0,2.09,UY,1601446786.0
82,Longyan,25.11,117.02,25.56,73.0,100.0,1.79,CN,1601446792.0
83,Tual,-5.67,132.75,27.33,81.0,78.0,7.57,ID,1601446793.0
84,Dakar,14.69,-17.44,26.0,94.0,20.0,4.1,SN,1601446389.0
85,Puerto Ayora,-0.74,-90.35,20.0,89.0,96.0,2.68,EC,1601446793.0
86,Yulara,-25.24,130.99,29.0,23.0,0.0,3.1,AU,1601446794.0
87,Butaritari,3.07,172.79,28.08,75.0,45.0,4.93,KI,1601446516.0
88,Namatanai,-3.67,152.43,27.99,77.0,97.0,2.84,PG,1601446794.0
89,Hilo,19.73,-155.09,27.0,74.0,20.0,2.1,US,1601446795.0
90,Giza,30.01,31.21,25.0,94.0,40.0,3.6,EG,1601446795.0
91,Aklavik,68.22,-135.01,3.0,86.0,20.0,2.1,CA,1601446795.0
92,Tuktoyaktuk,69.45,-133.04,3.0,93.0,75.0,1.0,CA,1601446765.0
93,Gigmoto,13.78,124.39,30.01,67.0,100.0,1.17,PH,1601446796.0
94,Kiryat Gat,31.61,34.76,26.67,89.0,0.0,2.29,IL,1601446796.0
95,Raudeberg,61.99,5.14,10.56,96.0,95.0,1.81,NO,1601446797.0
96,Chui,-33.7,-53.46,10.58,94.0,0.0,2.09,UY,1601446786.0
97,Guerrero Negro,27.98,-114.06,26.42,50.0,1.0,2.05,MX,1601446637.0
98,Ushuaia,-54.8,-68.3,-1.0,100.0,75.0,7.7,AR,1601446797.0
99,Vila Franca do Campo,37.72,-25.43,19.0,72.0,75.0,2.6,PT,1601446798.0
100,Robertsport,6.75,-11.37,24.95,85.0,92.0,0.95,LR,1601446798.0
101,Maţāy,28.42,30.78,28.81,46.0,0.0,6.42,EG,1601446799.0
102,Port Hardy,50.7,-127.42,13.0,100.0,20.0,2.6,CA,1601446783.0
103,Saint George,37.1,-113.58,20.56,14.0,1.0,2.1,US,1601446729.0
104,Thompson,55.74,-97.86,7.0,100.0,75.0,2.6,CA,1601446764.0
105,Grand-Santi,4.25,-54.38,22.04,97.0,100.0,0.98,GF,1601446705.0
106,Ushuaia,-54.8,-68.3,-1.0,100.0,75.0,7.7,AR,1601446797.0
107,Castro,-24.79,-50.01,15.99,93.0,25.0,1.5,BR,1601446800.0
109,Bengkulu,-3.8,102.27,31.35,55.0,48.0,5.39,ID,1601446770.0
110,Cape Town,-33.93,18.42,15.56,87.0,27.0,1.0,ZA,1601446234.0
111,Rikitea,-23.12,-134.97,21.18,79.0,55.0,10.13,PF,1601446768.0
112,Dhidhdhoo,6.88,73.1,27.82,75.0,77.0,5.39,MV,1601446801.0
113,Albany,42.6,-73.97,13.89,100.0,90.0,1.5,US,1601446765.0
114,Mataura,-46.19,168.86,10.0,83.0,100.0,3.13,NZ,1601446781.0
115,Sinnamary,5.38,-52.95,25.55,87.0,97.0,2.81,GF,1601446802.0
117,Chui,-33.7,-53.46,10.58,94.0,0.0,2.09,UY,1601446786.0
118,Iqaluit,63.75,-68.51,-2.0,68.0,90.0,5.7,CA,1601446514.0
119,Bluff,-46.6,168.33,10.0,83.0,94.0,3.13,NZ,1601446803.0
120,Rikitea,-23.12,-134.97,21.18,79.0,55.0,10.13,PF,1601446768.0
121,Adrar,20.5,-10.07,29.63,29.0,0.0,4.58,MR,1601446803.0
122,Cidreira,-30.18,-50.21,16.43,91.0,44.0,4.89,BR,1601446804.0
123,Jacksonville Beach,30.29,-81.39,18.0,72.0,40.0,5.7,US,1601446687.0
124,Ushuaia,-54.8,-68.3,-1.0,100.0,75.0,7.7,AR,1601446797.0
125,Barrow,71.29,-156.79,0.0,98.0,90.0,4.6,US,1601446608.0
126,Dingle,11.0,122.67,30.28,73.0,89.0,2.49,PH,1601446805.0
127,Sciacca,37.51,13.09,16.11,96.0,0.0,1.66,IT,1601446805.0
128,Vung Tau,10.35,107.08,30.77,69.0,93.0,5.07,VN,1601446548.0
129,Poopó,-18.37,-66.97,8.11,66.0,45.0,3.2,BO,1601446806.0
131,Souillac,-20.52,57.52,24.0,78.0,75.0,5.7,MU,1601446784.0
132,Fare,-16.7,-151.02,26.3,77.0,1.0,10.37,PF,1601446806.0
133,Castro,-24.79,-50.01,15.99,93.0,25.0,1.5,BR,1601446800.0
134,Alofi,-19.06,-169.92,26.0,83.0,49.0,5.1,NU,1601446807.0
135,Avarua,-21.21,-159.78,24.0,88.0,32.0,9.3,CK,1601446788.0
136,Mumford,5.26,-0.76,24.32,92.0,94.0,4.16,GH,1601446807.0
137,Beaumont,30.09,-94.1,15.0,82.0,1.0,1.06,US,1601446642.0
138,George Town,5.41,100.34,30.0,79.0,40.0,2.6,MY,1601446808.0
139,Vallenar,-28.57,-70.76,11.56,66.0,0.0,0.42,CL,1601446808.0
140,Rikitea,-23.12,-134.97,21.18,79.0,55.0,10.13,PF,1601446768.0
141,Bambanglipuro,-7.95,110.28,31.11,49.0,72.0,6.92,ID,1601446540.0
142,Khatanga,71.97,102.5,-0.8,95.0,99.0,7.3,RU,1601446809.0
143,Rikitea,-23.12,-134.97,21.18,79.0,55.0,10.13,PF,1601446768.0
144,Ushuaia,-54.8,-68.3,-1.0,100.0,75.0,7.7,AR,1601446797.0
145,Yellowknife,62.46,-114.35,3.33,100.0,20.0,3.1,CA,1601446810.0
146,Busselton,-33.65,115.33,17.78,78.0,100.0,4.02,AU,1601446779.0
147,Tiksi,71.69,128.87,0.91,95.0,100.0,5.6,RU,1601446811.0
148,Hermanus,-34.42,19.23,11.67,84.0,40.0,0.89,ZA,1601446779.0
149,Ushuaia,-54.8,-68.3,-1.0,100.0,75.0,7.7,AR,1601446797.0
150,Hobart,-42.88,147.33,17.22,55.0,75.0,7.7,AU,1601446645.0
151,Hobyo,5.35,48.53,27.98,66.0,4.0,6.13,SO,1601446812.0
152,Punta Arenas,-53.15,-70.92,1.0,86.0,90.0,6.2,CL,1601446786.0
153,Longyearbyen,78.22,15.64,4.0,87.0,75.0,9.3,SJ,1601446812.0
154,Mataura,-46.19,168.86,10.0,83.0,100.0,3.13,NZ,1601446781.0
155,Great Bend,38.36,-98.76,13.0,43.0,1.0,4.1,US,1601446813.0
156,Mataura,-46.19,168.86,10.0,83.0,100.0,3.13,NZ,1601446781.0
157,Saint-François,46.42,3.91,8.89,100.0,90.0,1.0,FR,1601446813.0
158,Yatou,37.15,122.38,18.79,52.0,0.0,7.43,CN,1601446814.0
159,Chapleau,47.84,-83.4,5.77,97.0,91.0,1.48,CA,1601446814.0
160,Biharamulo,-2.63,31.31,23.52,61.0,84.0,0.16,TZ,1601446814.0
161,Isangel,-19.55,169.27,21.84,78.0,26.0,9.25,VU,1601446773.0
